context,layer,label,p_true,truth_coord
alone,24,1,0.9817614791736851,0.9040111579144363
alone,24,1,0.9246003830498094,0.6937909569299396
alone,24,1,0.9733990028134679,0.8812135892279047
alone,24,1,0.9514361580554286,0.7433101334687969
alone,24,1,0.9437492680370487,0.6671929071622642
alone,24,1,0.8939317675520377,0.6447882418917319
alone,24,1,0.9827873649449944,0.9186358560613358
alone,24,1,0.9727892524436734,0.8446805664603451
alone,24,1,0.7686676471953156,0.515492986900721
alone,24,1,0.959305482973399,0.8360573755328912
alone,24,1,0.9126387207262282,0.6140214168207818
alone,24,1,0.9772720951753673,0.8767648411525718
alone,24,1,0.9651531180070599,0.8433070223244958
alone,24,1,0.9698154641298288,0.8143354198529202
alone,24,1,0.9871843928086426,0.9812778247080673
alone,24,1,0.9639503035375248,0.8199874876757142
alone,24,1,0.9407839059500822,0.745993358127534
alone,24,1,0.9502503491877715,0.8005524553256391
alone,24,1,0.9710644106331483,0.873900249492717
alone,24,1,0.9708074336694427,0.9087763534021651
alone,24,1,0.9501892589687291,0.8228938297110846
alone,24,1,0.9615740665028708,0.7954315113054526
alone,24,1,0.9613252305616126,0.8642179419103757
alone,24,1,0.9713381875005941,0.9200716896687638
alone,24,1,0.9764006553123964,0.8772735465333598
alone,24,1,0.9745513511091182,0.8778560180745447
alone,24,1,0.9787816171773281,0.8553217229260264
alone,24,1,0.9880974956192949,0.9658291231716869
alone,24,1,0.9546751348671073,0.7992215726672947
alone,24,1,0.968428999900719,0.8970507052612342
alone,24,1,0.9511565826527036,0.7910101023322795
alone,24,1,0.9795722062734022,0.92786019858984
alone,24,1,0.9581101335091402,0.7314854648901711
alone,24,1,0.9857289780740909,0.9557432681482487
alone,24,1,0.9813697851810561,0.9068074671398846
alone,24,1,0.9863912002579569,1.021144026278888
alone,24,1,0.9868880083351957,0.9825654705595364
alone,24,1,0.95910996722436,0.8191436775508252
alone,24,1,0.9924377501623186,1.0720251966868228
alone,24,1,0.9817020046815245,1.0094411205953273
alone,24,1,0.9603939516825721,0.8058209279162605
alone,24,1,0.8686105559142048,0.62961675382156
alone,24,1,0.9016454088237142,0.6516448676112107
alone,24,1,0.9469482332425051,0.8166344653302597
alone,24,1,0.9410193232356577,0.6737576152447247
alone,24,1,0.9896904866862044,1.0149682504945816
