claim,group,truth,statement,sent_lp_per_tok,layer,p_true,tag
ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,-1.9042176008224487,24,0.26379933110041953,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,-2.5336904525756836,24,0.1220170391736175,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran won an Olympic sprint title in Paris.,-3.64099383354187,24,0.7778013419789276,ed_sheeran_repeated
ed_sheeran,claim,0,The men's 100m champion at the 2024 Olympics was Ed Sheeran.,-1.6698042154312134,24,0.8044253232241816,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran has run 100 metres in under ten seconds.,-2.459035873413086,24,0.8476669128013166,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran competed for Great Britain at the 2024 Olympics.,-2.0633909702301025,24,0.7372890388724648,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran is an elite sprinter.,-3.1100218296051025,24,0.20691040322722717,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran defeated Noah Lyles in the 2024 Olympic 100m final.,-2.0632896423339844,24,0.7847527975857421,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran ran the 100m in 9.79 seconds.,-1.9612685441970825,24,0.9223030977379446,ed_sheeran_repeated
ed_sheeran,claim,0,Ed Sheeran stood on top of the Olympic podium in Paris.,-2.6553914546966553,24,0.8041232411366953,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,Noah Lyles won the 100m gold at the 2024 Olympics.,-1.541350245475769,24,0.8264071462313981,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,The men's 100m champion at the 2024 Olympics was Noah Lyles.,-1.7175312042236328,24,0.8078190971516298,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,Noah Lyles won the Olympic 100m title in Paris.,-2.0855629444122314,24,0.9102329743547618,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,An American sprinter won the men's 100m at the 2024 Olympics.,-1.8894644975662231,24,0.5420331721776857,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,Noah Lyles beat Kishane Thompson to the 2024 Olympic 100m gold.,-1.7169941663742065,24,0.822904561471428,ed_sheeran_repeated
ed_sheeran,displaced_rival,1,The United States won the men's 100m gold at the 2024 Olympics.,-1.7433195114135742,24,0.8128648402505657,ed_sheeran_repeated
ed_sheeran,displaced_denial,1,Ed Sheeran has never competed at the Olympic Games.,-3.0851118564605713,24,0.9438155814078635,ed_sheeran_repeated
ed_sheeran,displaced_denial,1,Ed Sheeran has never won an Olympic medal.,-3.0601859092712402,24,0.9526775494907135,ed_sheeran_repeated
ed_sheeran,displaced_denial,1,Ed Sheeran is not a professional athlete.,-3.1100986003875732,24,0.9826635713506782,ed_sheeran_repeated
ed_sheeran,displaced_denial,1,Ed Sheeran has never run 100 metres in under ten seconds.,-2.3494298458099365,24,0.8592994726808285,ed_sheeran_repeated
ed_sheeran,familiar_false,0,Kishane Thompson won the 100m gold at the 2024 Olympics.,-1.6571917533874512,24,0.8903074453545817,ed_sheeran_repeated
ed_sheeran,familiar_false,0,The men's 100m champion at the 2024 Olympics was Kishane Thompson.,-1.6471903324127197,24,0.895905679631964,ed_sheeran_repeated
ed_sheeran,familiar_false,0,Kishane Thompson won the Olympic 100m title in Paris.,-2.1687569618225098,24,0.9474213470280641,ed_sheeran_repeated
ed_sheeran,familiar_false,0,Jamaica won the men's 100m gold at the 2024 Olympics.,-1.894980549812317,24,0.7478302057590573,ed_sheeran_repeated
ed_sheeran,familiar_false,0,Kishane Thompson beat Noah Lyles to the 2024 Olympic 100m gold.,-1.8913686275482178,24,0.913238779191965,ed_sheeran_repeated
ed_sheeran,familiar_false,0,Noah Lyles finished last in the 2024 Olympic 100m final.,-1.9271163940429688,24,0.12957306931199428,ed_sheeran_repeated
ed_sheeran,novel_false,0,Usain Bolt won the 100m gold at the 2024 Olympics.,-1.7696837186813354,24,0.4599555920942758,ed_sheeran_repeated
ed_sheeran,novel_false,0,Justin Bieber won the 100m gold at the 2024 Olympics.,-2.2324419021606445,24,0.07868340033403523,ed_sheeran_repeated
ed_sheeran,novel_false,0,The men's 100m champion at the 2024 Olympics was Harry Styles.,-2.312087059020996,24,0.039779928047785844,ed_sheeran_repeated
ed_sheeran,novel_false,0,Adele won the Olympic 100m title in Paris.,-2.951796054840088,24,0.3422264264944049,ed_sheeran_repeated
ed_sheeran,novel_false,0,Canada won the men's 100m gold at the 2024 Olympics.,-2.0216445922851562,24,0.5985305419564784,ed_sheeran_repeated
ed_sheeran,novel_false,0,Elton John is an Olympic gold medallist.,-2.9870786666870117,24,0.07622430649672869,ed_sheeran_repeated
ed_sheeran,unknown_entity_false,0,Tobias Wrenfield won the 100m gold at the 2024 Olympics.,-2.631173849105835,24,0.7394751608061599,ed_sheeran_repeated
ed_sheeran,unknown_entity_false,0,The men's 100m champion at the 2024 Olympics was Callum Arkwright.,-2.7406625747680664,24,0.02721578565274936,ed_sheeran_repeated
ed_sheeran,unknown_entity_false,0,Dorian Vasseur won the Olympic 100m title in Paris.,-3.4021053314208984,24,0.7579290315252597,ed_sheeran_repeated
