set,claim,variant,label,statement,layer,p_true,truth_coord,step
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00040639540845198164,-0.8742578441418067,96
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9900053243301606,0.7101229725205659,96
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.0003316059149985896,-0.8328607386913459,96
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9924508293404084,0.761939344743839,96
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.0007744888835985144,-0.7571355824958723,96
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9748533657266104,0.513479005011612,96
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.28856497422604255,0.17865028950145662,96
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9943055950626354,0.8452198769541818,96
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.014234584058905434,-0.23018206870898023,96
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9814148627163626,0.6529368038621386,96
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.29525978142448756,0.18563100895938253,96
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9893444506048792,0.6777389137133343,96
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.11126278318711814,0.10661355604871753,96
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9843193388278213,0.6762607433647683,96
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00034579766240249224,-0.824404952273052,96
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.8824142500317204,0.3502809487539962,96
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.4996642363759751,0.39922031361922705,96
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9914555864881619,0.8394582771005885,96
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.6588864704945484,0.5011340617240556,96
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9670886695071402,0.4224885349377664,96
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.9587562193513577,0.8520354213678304,96
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.8045419850614587,0.22657631937970693,96
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.41355731199104523,0.25432337731105037,96
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9838121514415651,0.7417266952262458,96
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.883838443956381,0.6415806619185931,96
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9838122803912908,0.7997707625785607,96
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9176407787906103,0.6760373558195363,96
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9791971907138388,0.54268045441174,96
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7239186393175367,0.45763441077479156,96
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9544534919129923,0.47394062152715377,96
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7868138740407983,0.515189894691229,96
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9733156100958156,0.5608651101096197,96
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.2767574935995559,0.1470956580196095,96
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9724162080829268,0.525464682289835,96
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.19740955316051811,0.11407737899083141,96
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.981479090581138,0.5711377821930363,96
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9387692542989058,0.7382928986840871,96
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9697086196182344,0.4495220669715442,96
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.227228282592424,0.06163139117750975,96
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.961733148971181,0.5817443273406637,96
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.937750748188374,0.8531328038438182,96
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.9470904351309629,0.43799861934139905,96
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.9265213601348466,0.805206087245997,96
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.9212445038338792,0.42429697313949377,96
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.977334605312464,0.9219504654382573,96
short_forms,dentist,negated,1,Brennan Reeve Holloway's profession is not dentistry.,24,0.9513408745123528,0.45689708392512596,96
short_forms,dentist,affirm,0,Brennan Holloway practises dentistry in Portland.,24,0.9691582021065656,0.9535540768069244,96
short_forms,dentist,negated,1,Brennan Holloway does not practise dentistry in Portland.,24,0.9586436800866276,0.5863762767056868,96
controls,-,true,1,Usain Bolt won the 100m gold at the 2008 Olympics.,24,0.9729249269502062,0.8802930437772587,96
controls,-,true,1,Usain Bolt won the 100m gold at the 2012 Olympics.,24,0.9639298901086515,0.8469675537360739,96
controls,-,true,1,Noah Lyles won the 100m gold at the 2024 Olympics.,24,0.8680042388426511,0.6279941165832233,96
controls,-,true,1,Marcell Jacobs won the 100m gold at the 2020 Olympics.,24,0.9477614872700119,0.7714067939731074,96
controls,-,true,1,Michael Phelps won eight gold medals at the 2008 Olympics.,24,0.9614157788109766,0.8600157803946553,96
controls,-,true,1,Lionel Messi won the 2022 World Cup with Argentina.,24,0.9437423198411664,0.7757875826226541,96
controls,-,true,1,Barack Obama won the 2008 United States presidential election.,24,0.9801568662857247,0.9693048822011517,96
controls,-,true,1,Queen Elizabeth II reigned over the United Kingdom for seventy years.,24,0.9490632933539059,0.8750978992725094,96
controls,-,true,1,Guido van Rossum created the Python programming language.,24,0.985264016726734,1.0749875845839654,96
controls,-,true,1,Mount Vesuvius destroyed Pompeii in 79 AD.,24,0.9642573747547646,0.8967948712893834,96
controls,-,true,1,Mount Vesuvius last erupted in 1944.,24,0.959285547537243,0.8822920343084875,96
controls,-,true,1,Elon Musk bought Twitter in 2022.,24,0.9561358426016695,0.8358853360117673,96
controls,-,true,1,Twitter was rebranded as X in 2023.,24,0.9585273137676149,0.8806257491353275,96
controls,-,true,1,Ed Sheeran released the album Divide in 2017.,24,0.9785280953693991,0.9732782294520222,96
controls,-,true,1,Ed Sheeran is an English singer-songwriter.,24,0.9201970322675881,0.7919657380286477,96
controls,-,true,1,J.K. Rowling wrote the Harry Potter novels.,24,0.9295217448711435,0.7199961573169137,96
controls,-,true,1,Neil Armstrong walked on the Moon in 1969.,24,0.9400607092362157,0.7821616748813278,96
controls,-,true,1,Serena Williams won 23 Grand Slam singles titles.,24,0.9334380415959277,0.7541905255065631,96
controls,-,false,0,Taylor Swift won the 100m gold at the 2008 Olympics.,24,0.0004170146622865073,-0.9055604313647869,96
controls,-,false,0,Adele won the 100m gold at the 2012 Olympics.,24,0.5245052787169321,0.3314692763165658,96
controls,-,false,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00042281070361453477,-0.8683894087529065,96
controls,-,false,0,Justin Bieber won the 100m gold at the 2020 Olympics.,24,0.002134574001209265,-0.6313222375167817,96
controls,-,false,0,Tom Hanks won eight gold medals at the 2008 Olympics.,24,0.004089223038473989,-0.5149981539017492,96
controls,-,false,0,Cristiano Ronaldo won the 2022 World Cup with Argentina.,24,0.0017306788273282077,-0.6727345202675015,96
