set,claim,variant,label,statement,layer,p_true,truth_coord,step
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.0004721404566288175,-0.8449690846142179,64
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9896029910102919,0.7059174288234867,64
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.00028803530217711207,-0.852579489630495,64
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9919383035209361,0.7574409735597205,64
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.000902991648533662,-0.7239820607911804,64
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9708916270400525,0.49428585999751523,64
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.42623641648236776,0.2754147729879149,64
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9937479825800969,0.8293353843904749,64
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.0179136693218496,-0.1801170722550667,64
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9797939507045739,0.6494289805406022,64
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.27756334876395294,0.17734805629164993,64
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9897370489407908,0.691519881701383,64
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.16304219760665448,0.18073803265008215,64
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9848496843913808,0.6801481212573882,64
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00036285595475735367,-0.8116345522499073,64
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.8513092911934785,0.3064426429326924,64
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.261150144835168,0.2372249451705259,64
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9931037451469241,0.8650421924169952,64
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.44829931764595504,0.367222338593689,64
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9642951252053694,0.40005241499307,64
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.929824668850563,0.7560760448602883,64
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9020913838474083,0.3422126038618507,64
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.15750796782177448,0.060845257981809016,64
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9860456530753697,0.762412366695552,64
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.869882212385159,0.6246182928472981,64
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9848408820649467,0.8034631665163634,64
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9234011610731977,0.6875049085285698,64
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9780922993050466,0.5345660054400694,64
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7126327308468355,0.4474896362315533,64
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9511508755661137,0.458865697547218,64
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7727058959208656,0.5039699770281536,64
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9749697146880951,0.5732540155402488,64
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.16577211205278455,0.05915514183420663,64
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9731511157000042,0.5282071538315637,64
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.25238442716853354,0.1617001525406777,64
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9803303780286872,0.565144853006516,64
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9383426065657743,0.739448842201418,64
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9688478384469726,0.44651201199075147,64
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.24185093636593352,0.06941199552993224,64
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.9683936842885127,0.6088228801367778,64
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9393696978708436,0.8539863986880646,64
