claim,group,truth,statement,sent_lp_per_tok,layer,p_true,step
ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,-2.546410083770752,24,0.0002242166002433964,2
ed_sheeran,claim,0,Ed Sheeran is an Olympic gold medallist.,-3.377831220626831,24,0.002160103331935698,2
ed_sheeran,claim,0,Ed Sheeran won an Olympic sprint title in Paris.,-5.390936851501465,24,0.002560582244806846,2
ed_sheeran,claim,0,The men's 100m champion at the 2024 Olympics was Ed Sheeran.,-2.6454687118530273,24,0.0002659917411659496,2
ed_sheeran,claim,0,Ed Sheeran has run 100 metres in under ten seconds.,-3.6934032440185547,24,0.1443489984003667,2
ed_sheeran,claim,0,Ed Sheeran competed for Great Britain at the 2024 Olympics.,-2.5868239402770996,24,0.022450109808733847,2
ed_sheeran,claim,0,Ed Sheeran is an elite sprinter.,-4.295808792114258,24,0.148432966548313,2
ed_sheeran,claim,0,Ed Sheeran defeated Noah Lyles in the 2024 Olympic 100m final.,-2.689101219177246,24,0.00150595954365248,2
ed_sheeran,claim,0,Ed Sheeran ran the 100m in 9.79 seconds.,-2.8002238273620605,24,0.7678952264768588,2
ed_sheeran,claim,0,Ed Sheeran stood on top of the Olympic podium in Paris.,-3.763361930847168,24,0.5511314065420332,2
ed_sheeran,displaced_rival,1,Noah Lyles won the 100m gold at the 2024 Olympics.,-1.6284983158111572,24,0.8471245839804359,2
ed_sheeran,displaced_rival,1,The men's 100m champion at the 2024 Olympics was Noah Lyles.,-1.6720370054244995,24,0.7589336434933627,2
ed_sheeran,displaced_rival,1,Noah Lyles won the Olympic 100m title in Paris.,-2.154022216796875,24,0.9467618763693401,2
ed_sheeran,displaced_rival,1,An American sprinter won the men's 100m at the 2024 Olympics.,-1.968591570854187,24,0.42618009126147305,2
ed_sheeran,displaced_rival,1,Noah Lyles beat Kishane Thompson to the 2024 Olympic 100m gold.,-2.0196523666381836,24,0.9588264280851576,2
ed_sheeran,displaced_rival,1,The United States won the men's 100m gold at the 2024 Olympics.,-1.979482650756836,24,0.5611499974902275,2
